Job Title,Company Name,Location,Skills,Years of Experience,Education,Job Type,Salary
Data Scientist,US National Institutes of Health,Remote,"AI, R, Data Mining, Big Data, Data Visualization, Python, Computer Science, Statistics, MATLAB, Tableau, Machine Learning",Not specified,Bachelor,Full-time,139;395 - 181;216 a year
Decision Scientist,CVS Health,Remote in Woonsocket; RI,"Analytics, Data Mining, Big Data, SQL, Data Visualization, Data Analysis, SAS, Computer Science, Statistics, Statistical Analysis, Tableau, Leadership, Machine Learning",Not specified,Master,Full-time,100;000 - 140;000 a year
Agricultural Data Scientist,World Resources Institute,Hybrid work in Washington; DC 20002,"AI, Google Cloud, AWS, Cloud Computing, Python, Data Analysis, Computer Science, Research, Leadership, Machine Learning",7,Bachelor,Full-time,96;000 - 110;000 a year
Associate Data Scientist,Home Depot / THD,Atlanta; GA,"Scripting, Computer Vision, Analytics, Excel, Data Analytics, Data Mining, SQL, Data Visualization, Data Analysis, Python, Computer Science, Statistics, Tableau, Leadership",3,Bachelor; Master,Not specified,80;000 - 150;000 a year
Data Scientist - Enterprise Analytics,HealthFirst,New York; NY 10007  (Tribeca area),"R, Analytics, Pandas, AWS, NumPy, SQL, Cloud Computing, Python, Machine Learning Algorithms, Redshift, Statistics, Research, Machine Learning",30,Bachelor; Master,Full-time,Not specified
AI Engineer,Bristol-Myers Squibb,Princeton; NJ,"AI, Azure, Analytics, Excel, NoSQL, Software development, AWS, Data Engineering, Cloud Computing, Python, Research",5,Not Specified,Not specified,Not specified
Associate Data Scientist,VNS Health,Manhattan; NY,"Julia, R, Forecasting, SQL, Python, SAS, Statistical Software, Statistics, Statistical Analysis, MATLAB",Not specified,Master,Full-time,85;000 - 106;300 a year
Data Scientist,ActioNet,San Diego; CA 92101,"R, Data Mining, Java, Python, Machine Learning Algorithms, Computer Science, Statistics, Marketing, Machine Learning",Not specified,Bachelor,Full-time,150;000 - 180;000 a year
Senior Data Scientist - Thousand Oaks; CA,Amgen,Remote in Thousand Oaks; CA,"AI, Go, Matplotlib, Analytics, Excel, Pandas, Sales, NumPy, SQL, Data Visualization, Python, Agile, Leadership, Machine Learning",10,Bachelor; Doctorate; Master,Not specified,143;314 - 169;083 a year
Sr. Data Analyst - Remote,UnitedHealthcare,Remote in Minnetonka; MN 55305,"AI, R, Analytics, JSON, Forecasting, SQL, Python, Agile, Git, Machine Learning",3,Master,Full-time,88;000 - 173;200 a year
Sr Data Scientist - Demand Forecasting,Target,Minneapolis; MN 55445,"AI, Software development, R, Forecasting, CI/CD, Java, Data Structures, Data Analysis, Python, Scala, Machine Learning Algorithms, Statistics, Marketing, Machine Learning",Not specified,Not Specified,Full-time,93;800 - 168;800 a year
Shortage Data Scientist I,Burlington Stores,Hybrid work in Burlington; NJ 08016,"Analytics, R, Excel, Forecasting, Data Visualization, Python, Tableau, Leadership",5,Bachelor,Full-time,80;000 - 105;000 a year
Data Scientist,CVS Health,New York; NY,"R, Analytics, XML, JSON, Hadoop, CI/CD, Python, Computer Science, REST, Statistics, Statistical Analysis, Git, APIs, Machine Learning",Not specified,Master,Full-time,108;306 - 170;000 a year
Data Scientist,CVS Health,New York; NY,"Software development, NoSQL, Python, Computer Science, CI/CD, Natural Language Processing, Statistical Software, Statistical Analysis, R, Analytics, Git, APIs, Data Mining, AWS, SQL, SAS, Statistics, MySQL, Machine Learning",Not specified,Master,Full-time,108;306 - 170;000 a year
Senior Data Scientist; Risk Analytics,Extend,Remote,"R, Analytics, Forecasting, SQL, Python, Statistics, Leadership",4,Bachelor,Not specified,125;000 - 140;000 a year
Data and AI Analyst,Emory University,Atlanta; GA 30322,"Analytics, Computer Science, Statistics, Research, Machine Learning",Not specified,Bachelor,Full-time,Not specified
Data Scientist (Analytics Center of Excellence),Blue Cross Blue Shield of Michigan,Hybrid work in Detroit; MI,"Github, R, Analytics, Excel, SQL, Java, Python, Computer Science, Marketing, Statistics, Tableau, Research, Git, Big Data",Not specified,Bachelor; Doctorate; Master,Full-time,Not specified
Sr Data Scientist,HCSC,Chicago; IL,"Analytics, Data Visualization, Data Analysis, Computer Science, Statistics, Leadership, Machine Learning",7,Bachelor; Doctorate; Master,Full-time,Not specified
Population Health Business Data Scientist,UT Health Science Center at San Antonio,San Antonio; TX 78229,"Data Analytics, Data Mining, Leadership, Analytics",Not specified,Not Specified,Full-time,Not specified
Staff Product Data Scientist,PayPal,New York; NY,"R, Analytics, Excel, Hadoop, SQL, Data Analysis, Python, Computer Science, Financial Services, Statistics, Tableau",20,Bachelor; Master,Full-time,96;900 - 234;300 a year
Sr. Data Scientist,CVS Health,Remote in New York; NY,"R, Analytics, Pandas, Data Mining, NumPy, SQL, Scikit-learn, Natural Language Processing, Python, Computer Science, Statistical Software, Statistics, TensorFlow, MySQL, Tableau, Keras, Machine Learning",Not specified,Master,Full-time,108;306 - 196;000 a year
Data Scientist - Marketing Analytics,UL Solutions,Northbrook; IL 60062,"Analytics, Data Analytics, Data Mining, Presentation Skills, Data Visualization, Python, Computer Science, Agile, Research, Machine Learning",129,Bachelor,Not specified,80;000 - 110;000 a year
Data Scientist; Health Economics,VNS Health,Manhattan; NY,"Github, R, Data Mining, SQL, Data Structures, Data Analysis, Python, Computer Science, Statistics, MATLAB, Big Data",2,Not Specified,Full-time,93;400 - 116;800 a year
Data Scientist,Featurespace,Atlanta; GA,"R, Analytics, Java, Data Structures, Data Analysis, Python, Machine Learning Algorithms, Computer Science, Machine Learning",Not specified,Not Specified,Not specified,Not specified
Data Scientist; Analytics Consumer Products,Juul Labs,Remote,"Analytics, SQL, Python, Tableau, Research, Leadership",5,Not Specified,Not specified,121;000 - 167;000 a year
Data Scientist,Micron,Manassas; VA,"AI, R, Analytics, Data Analytics, Data Engineering, Big Data, Data Visualization, Computer Science, Statistics, Machine Learning",Not specified,Master,Not specified,Not specified
Senior Data Scientist,Featurespace,Atlanta; GA,"Analytics, SQL, Data Structures, Python, Machine Learning Algorithms, Computer Science, Research, Machine Learning",Not specified,Not Specified,Not specified,Not specified
Data Scientist,CVS Health,Chicago; IL,"Analytics, Data Mining, SQL, Natural Language Processing, SAS, Computer Science, Marketing, Statistics, Statistical Software, Tableau, Research, Machine Learning",Not specified,Master,Full-time,89;690 - 150;000 a year
DATA SCIENTIST,Los Angeles County Department of Human Resources,Los Angeles County; CA,"Scripting, Analytics, Data Analytics, Data Mining, Big Data, Data Visualization, Encryption, Data Analysis, Statistics, Statistical Analysis, Research, Machine Learning",16,Bachelor; Doctorate; Master,Full-time,Not specified
Data Scientist,Oklahoma State University,Stillwater; OK 74075,"Azure, Google Cloud, Python, Computer Science, Power BI, Matplotlib, Pandas, Cloud Computing, Data Analysis, Statistical Analysis, Research, R, Analytics, Hypothesis testing, Seaborn, Julia, Data Analytics, Data Mining, AWS, SQL, Project Management, Data Visualization, Statistics, Tableau, Machine Learning",5,Not Specified,Full-time,80;000 - 110;000 a year
Data Scientist,ePATHUSA Inc,Seattle; WA 98198,"R, SQL, Data Visualization, Python, Computer Science, Statistics, Regression Analysis, A/B Testing",3,Bachelor,Not specified,Not specified
Staff Data Scientist; Shopping,Pinterest,Remote in San Francisco; CA,"Scripting, Deep Learning, R, Analytics, Data Engineering, Forecasting, SQL, Scikit-learn, Data Structures, Python, TensorFlow, Research, Leadership, PyTorch, Machine Learning",10,Not Specified,Not specified,148;049 - 304;496 a year
Data Scientist,US National Institutes of Health,Montgomery County; MD,"AI, Deep Learning, R, Data Mining, Data Visualization, Python, Computer Science, Reinforcement Learning, Statistics, MATLAB, Leadership, Tableau, Machine Learning",Not specified,Bachelor,Full-time,117;962 - 153;354 a year
Data Scientist,Royal Caribbean Group,Miami; FL 33132  (Port of Miami - Dodge Island area),"Spark, Azure, Software development, Python, Computer Science, Keras, Go, Deep Learning, Pig, Cloud Computing, Data Analysis, Natural Language Processing, Marketing, Statistical Analysis, Research, AI, Scripting, R, Analytics, Java, Scala, Agile, TensorFlow, APIs, Computer Vision, Data Analytics, Data Mining, Hadoop, AWS, Forecasting, SQL, SAS, Statistics, MATLAB, Machine Learning",5,Doctorate; Master,Full-time,Not specified
Data Scientist (contract),Wells Fargo,Chandler; AZ,"Analytics, SQL, Natural Language Processing, Python, SAS, Statistics, Statistical Analysis, Machine Learning",Not specified,Bachelor,Not specified,Not specified
Data Scientist,Takeda Pharmaceutical,Boston; MA,"Computer Science, Analytics, Machine Learning",4,Bachelor,Full-time,121;500 - 186;000 a year
Data Scientist,Zynex Medical,Englewood; CO 80112,"R, Analytics, Excel, Data Analytics, SQL, Python, Agile, MATLAB, Research, Git",5,Bachelor,Full-time,Not specified
Statistical Programmer/Data Analyst RECOVER,Massachusetts General Hospital(MGH),Boston; MA 02114  (West End area),"R, SAS, Computer Science, Statistics, Research",Not specified,Not Specified,Full-time,Not specified
Data Scientist,Latham & Watkins LLP,Los Angeles; CA 90013  (Downtown area),"Analytics, Computer Science, Machine Learning Algorithms, Statistics, Regression Analysis, Machine Learning",Not specified,Bachelor,Full-time,110;000 - 135;000 a year
Data Scientist; Paramount Advertising,Paramount,New York; NY 10036,"Sales, Software development, Excel, Python, Data Warehouse, Big Data, Snowflake, Machine Learning Algorithms, Product Management, Leadership, Analytics, Hypothesis testing, Agile, Data Analytics, AWS, Forecasting, SQL, Redshift, Statistics, Machine Learning",2,Bachelor; Doctorate; Master,Full-time,98;400 - 123;000 a year
Corporate Analytics Data Scientist,Hawaii Medical Service Association,Hybrid work in Honolulu; HI 96814,"Analytics, Excel, Data Analytics, Project Management, Research",Not specified,Bachelor,Full-time,57;629 - 88;159 a year
Data Scientist,CACI,Norco; CA 92860,"Data Mining, Agile, Statistical Analysis, Data Visualization",60,Not Specified,Full-time,Not specified
Research Data Scientist,University of California San Francisco,San Francisco; CA 94143  (Inner Sunset area),"R, Project Management, Data Analysis, Statistical Software, Statistical Analysis, Statistics, Research",3,Master,Full-time,Not specified
Decision Scientist,Density,San Francisco; CA,"Matplotlib, Analytics, SQL, Hypothesis testing, Data Visualization, Python, Computer Science, Statistics, Seaborn, Tableau, Research",3,Bachelor; Master,Not specified,150;000 - 200;000 a year
Data Scientist 1/2 or Sr,MidAmerican Energy,Des Moines; IA,"Spark, Azure, Software development, NoSQL, Kafka, Python, Computer Science, Power BI, Pig, Leadership, Data lake, R, Analytics, Agile, Data Analytics, Hadoop, SQL, Project Management, SPSS, SAS, MATLAB",Not specified,Bachelor; Master,Full-time,Not specified
Associate Data Scientist - PLMI Analytics,Cleveland Clinic,Remote in Cleveland; OH 44195,"AI, R, Analytics, Big Data, SQL, SPSS, Python, SAS, Computer Science, Statistics, Statistical Analysis, Tableau, Leadership, Machine Learning",Not specified,Bachelor,Not specified,Not specified
Data Scientist 3,United Launch Alliance,Centennial; CO 80112,"Azure, R, Analytics, Excel, Data Analytics, Data Mining, AWS, Big Data, Python, Statistics, MATLAB, Leadership, Machine Learning",8,Bachelor,Not specified,111;700 - 174;504 a year
Senior Data Analyst (Remote),Patterson,Remote in Saint Paul; MN 55120,"Analytics, SQL, Data Analysis, Computer Science, Research, Leadership",5,Bachelor; Master,Full-time,Not specified
Data Scientist,Realign LLC,Bentonville; AR,"R, Data Mining, SQL, Data Visualization, Python, Machine Learning Algorithms, Computer Science, Statistics, Tableau, Power BI, Machine Learning",Not specified,Bachelor; Master,Full-time,Not specified
Data Scientist; Growth/Marketing,Scale AI,San Francisco; CA,"AI, Computer Vision, SQL, Python, Marketing",2,Not Specified,Full-time,Not specified
Data Scientist,WALGREENS,Deerfield; IL 60015,"Spark, R, Analytics, Data Mining, SQL, Data Analysis, Python, Statistics, Leadership",2,Bachelor,Not specified,104;390 - 166;760 a year
Analyst; Data Analytics (All Levels),Southern Company,Atlanta; GA 30309  (Midtown area),"Spark, Azure, Excel, Python, Power BI, Big Data, Data Analysis, Leadership, AI, R, Analytics, Quantitative analysis, Tableau, Data Analytics, AWS, Hadoop, Forecasting, SQL, Data Visualization, SPSS, SAS, MySQL, Machine Learning",9,Bachelor; Doctorate,Full-time,Not specified
Sr Azure Data Analyst,Intone Networks,Remote,Azure,Not specified,Not Specified,Not specified,Not specified
Principal Data Scientist - AI Foundations; Personalization,Capital One,Hybrid work in McLean; VA,"AI, Deep Learning, Analytics, APIs, Banking, Data Analytics, AWS, Scikit-learn, Cloud Computing, Data Analysis, Natural Language Processing, Financial Services, TensorFlow, Research, PyTorch, Keras, Machine Learning",5,Bachelor; Doctorate; Master,Full-time,Not specified
ML Data Analyst,Stanford University,California,"AI, Scripting, Unix, Docker, Python, Kubernetes, Statistics, Linux, MySQL, Research, Git, Machine Learning",Not specified,Bachelor,Full-time,66;560 - 97;000 a year
Senior Data Analyst- Deposits,Bank OZK,Little Rock; AR,"Scripting, Sales, Analytics, R, Excel, SQL, Python, Computer Science, Marketing, Statistics, Research, Leadership, Power BI, Snowflake",4,Bachelor; Master,Full-time,Not specified
Senior Data Analyst,Capital One,Richmond; VA,"Spark, Scripting, R, Analytics, Data Analytics, AWS, SQL, Data Visualization, Python, Agile",5,Bachelor; Master,Full-time,Not specified
Data Scientist,Micron,Boise; ID,"Data Analysis, Machine Learning, Computer Science, Statistics, Big Data",Not specified,Master,Not specified,Not specified
Data Scientist,Office of Statewide Pretrial Services,Springfield; IL,"R, Analytics, Excel, SQL, Project Management, SPSS, Python, SAS, Statistics, Statistical Analysis, Tableau, Research, Power BI",Not specified,Bachelor; Master,Full-time,75;324 a year
Decision Science Analyst I - Space Analytics,H-E-B,San Antonio; TX 78204  (Lone Star area),"Spark, Analytics, R, A/B Testing, Presentation Skills, SQL, Python, Marketing, Tableau, Research, Big Data",2,Not Specified,Full-time,Not specified
Data Scientist,Ochsner Health System,New Orleans; LA 70112  (Central Business District area),"Deep Learning, Analytics, Software development, Data Analytics, Data Mining, Forecasting, SQL, Hypothesis testing, Data Analysis, Python, Computer Science, Statistics, Statistical Analysis, Research, Machine Learning",Not specified,Bachelor,Full-time,Not specified
Data Scientist,BI USA,Hybrid work in Ridgefield; CT 06877,"AI, R, Analytics, Hypothesis testing, Project Management, Data Visualization, SPSS, Python, Computer Science, Agile, Statistics, Tableau, Leadership, Power BI",Not specified,Bachelor; Master,Full-time,Not specified
Data Scientist,The Connor Group,Dayton; OH 45459,"AI, SQL, Marketing, Computer Science, Leadership, Machine Learning",30,Not Specified,Not specified,Not specified
Data Scientist,USDM Life Sciences,Thousand Oaks; CA,"MATLAB, Data Analysis, Python, Analytics",21,Doctorate; Master,Full-time,40 - 50 an hour
Scientist; Research Data,University of Arizona,Tucson; AZ,"R, Unix, Presentation Skills, Java, Data Analysis, Python, Computer Science, Perl, Statistics, Linux, Research, Machine Learning",5,Bachelor; Master,Full-time,75;540 - 98;201 a year
Data Scientist Healthcare,Intone Networks,Hybrid work in Washington; DC 20001,,Not specified,Not Specified,Not specified,Not specified
Data Scientist,Caterpillar,Chillicothe; IL 61523,"Azure, Software development, Data Mining, AWS, CI/CD, Data Visualization, Natural Language Processing, Python, Agile, Statistics, Research, Leadership, Power BI, Git, Machine Learning",Not specified,Not Specified,Full-time,Not specified
Senior Data Analyst,Fanatics Inc.,Miramar; FL 33027,"Sales, Analytics, Excel, Data Analytics, SQL, Python, Tableau, Leadership",Not specified,Bachelor,Full-time,Not specified
Data Scientist,MIT Lincoln Laboratory,Lexington; MA,"AI, Analytics, Research",5,Doctorate; Master,Not specified,Not specified
Sr. Data Analyst,The Iowa Clinic,West Des Moines; IA 50266,"Analytics, R, SQL, Python, Statistics, Tableau, Power BI",Not specified,Bachelor,Full-time,Not specified
Senior Risk Data Analyst,Truist Bank,Charlotte; NC 28269,"Banking, Risk Management, Data Engineering, SQL, Python, SAS, Tableau, Research",9,Bachelor,Full-time,Not specified
Data Scientist,Schneider,Green Bay; WI 54301,"R, Analytics, Forecasting, SQL, SPSS, Python, SAS, Computer Science, Statistics, Tableau, Leadership, Regression Analysis, Machine Learning",Not specified,Bachelor; Master,Full-time,Not specified
Senior Data Analyst,CVS Health,Remote in Phoenix; AZ,"Analytics, R, AWS, SQL, Python",2,Bachelor,Full-time,43;700 - 102;000 a year
Data Scientist,CVS Health,New York; NY,"R, Analytics, XML, JSON, Hadoop, CI/CD, Python, Computer Science, REST, Statistics, Statistical Analysis, Git, APIs, Machine Learning",Not specified,Master,Full-time,108;306 - 170;000 a year
Associate Data Science Analyst -Hematology Research,Mayo Clinic,Hybrid work in Rochester; MN 55902,"R, Analytics, Unix, Data Mining, Big Data, Data Analysis, Python, Computer Science, Statistics, Linux, Research, Machine Learning",Not specified,Bachelor,Full-time,74;859 - 112;195 a year
Data; AI and Analytics Strategist,Accenture,Arlington; VA,"AI, Accounting, Analytics, Banking",2,Not Specified,Full-time,Not specified
Data Scientist,US National Oceanic and Atmospheric Administration,Woods Hole; MA,"Software development, R, Data Visualization, Data Analysis, Computer Science, Statistics, Research",3,Bachelor; Doctorate,Full-time,81;963 - 127;707 a year
Machine Learning Data Linguist I,Amazon.com Services LLC,Boston; MA,"Research, Data Analysis",Not specified,Not Specified,Full-time,Not specified
Data Scientist; Product,OpenAI,San Francisco; CA  (Mission area),"AI, Github, SQL, Python, Research",5,Not Specified,Full-time,245;000 - 385;000 a year
Sports Science Data Specialist I,University of Miami,Coral Gables; FL,"Research, Data Analysis",Not specified,Bachelor,Full-time,Not specified
Data Scientist,Booz Allen,Arlington; VA,"R, Analytics, Data Analytics, Data Mining, SQL, Java, Data Visualization, Data Analysis, Python, Statistics, Statistical Analysis, Tableau, Leadership, Power BI, Machine Learning",5,Bachelor; Master,Full-time,75;600 - 172;000 a year
Senior Data Analyst,Vanderbilt University,Hybrid work in Nashville; TN 37232,"Go, R, Analytics, Project Management, Data Visualization, Data Analysis, Statistics, Tableau, Research, Data Warehouse",Not specified,Master,Full-time,Not specified
Senior Data Scientist,Capital One,McLean; VA,"Spark, Deep Learning, R, Analytics, Data Analytics, AWS, Big Data, SQL, Cloud Computing, Python, Scala, Data Analysis, Research, Machine Learning",2,Bachelor; Doctorate; Master,Full-time,Not specified
Principal Data Scientist,Capital One,McLean; VA,"Spark, Deep Learning, R, Analytics, Data Analytics, AWS, Big Data, SQL, Cloud Computing, Python, Scala, Data Analysis, Research, Machine Learning",5,Bachelor; Doctorate; Master,Full-time,Not specified
DATA SCIENTIST,US Air Force Materiel Command,Wright-Patterson AFB; OH,"Research, Go, Computer Science, Statistics",6,Not Specified,Part-time,65;370 - 91;765 a year
Data Scientist,MIT Lincoln Laboratory,Lexington; MA,"Github, Analytics, R, Quantitative analysis, Data Analysis, Python, Computer Science, Statistics, MATLAB",Not specified,Bachelor,Not specified,Not specified
Research Analyst; (Data science),CEDENT,Atlanta; GA,"R, Excel, SQL, Java, Project Management, Pig, Python, SAS, Financial Services, Statistics, Research, Leadership",Not specified,Doctorate,Full-time,Not specified
Data Scientist,Amazon.com Services LLC,North Reading; MA 01864,"Spark, Scripting, Software development, R, Analytics, Hadoop, SQL, SPSS, Python, SAS, Computer Science, Statistics, MATLAB, Research, Leadership, Big Data",3,Bachelor; Master,Full-time,Not specified
People Data Scientist,Yale University,Hybrid work in New Haven; CT 06511,"R, Analytics, SQL, Hypothesis testing, Data Visualization, Data Analysis, Python, Computer Science, Statistics, Statistical Analysis, Tableau, Research, Power BI, Machine Learning",2,Doctorate; Master,Full-time,Not specified
Data Science - Developmental,US DHS Headquarters,Hybrid work in Chandler; AZ,"Deep Learning, R, Analytics, Data Analytics, Data Mining, Hypothesis testing, Data Visualization, SPSS, SAS, Statistics, Statistical Analysis, Tableau, Research, Leadership, Machine Learning",18,Not Specified,Full-time,80;800 - 105;500 a year
Data Scientist,Oklahoma City Thunder,Oklahoma City; OK 73114,"R, SQL, Data Visualization, Data Analysis, Python, Statistics, Research, Machine Learning",1,Bachelor; Doctorate; Master,Full-time,Not specified
Data Scientist,McKesson,Richmond; VA 23233,"Azure, Analytics, A/B Testing, Data Engineering, Forecasting, SQL, Accounting, Python, Computer Science, Agile, MLOps, Statistics, Reinforcement Learning, Snowflake, Machine Learning",4,Bachelor; Doctorate; Master,Not specified,103;300 - 172;100 a year
Senior Data Scientist; Biological Discovery,CALICO,South San Francisco; CA,"R, Pandas, NumPy, Python, Computer Science, Agile, Statistics, Research, Machine Learning",Not specified,Doctorate,Not specified,164;000 - 172;000 a year
Data Scientist,Congruent,San Francisco; CA,"Sales, Analytics, Pandas, AWS, SQL, Scikit-learn, Data Visualization, Cloud Computing, Feature Extraction, Python, Computer Science, Statistics, Machine learning frameworks, Machine Learning",7,Master,Not specified,150;000 - 200;000 a year
DATA SCIENTIST,University of Washington,Seattle; WA 98195  (University District area),"Github, Software development, Statistics, Research, Leadership, Machine Learning",Not specified,Doctorate; Master,Full-time,$8;668 \$(\d{1;3}(?:;\d{3})*)
Data Scientist,INADEV,McLean; VA 22102,"Github, Azure, NoSQL, Python, Pandas, Presentation Skills, MongoDB, Docker, Natural Language Processing, Statistical Analysis, Linux, AI, Scripting, NumPy, Scikit-learn, APIs, Data Mining, AWS, SQL, Data Visualization, Statistics, Tableau, Machine Learning",5,Bachelor,Full-time,100;000 - 120;000 a year
Data Scientist I/II,Fred Hutchinson Cancer Center,Seattle; WA 98102  (South Lake Union area),"Github, Software development, R, Analytics, AWS, Data Analysis, Python, Machine Learning Algorithms, Computer Science, Statistics, Research, Leadership, Git, Machine Learning",Not specified,Bachelor; Doctorate; Master,Full-time,$93;101 - $139;630 \$(\d+;\d+)
Data Scientist,University of California San Francisco,San Francisco; CA 94143  (Inner Sunset area),"Go, Deep Learning, R, Google Cloud, AWS, SQL, Data Structures, Project Management, Docker, Data Analysis, Python, Computer Science, Research, Machine Learning",Not specified,Bachelor; Doctorate,Full-time,Not specified
Health Science Specialist - Data Scientist,US Veterans Health Administration,Menlo Park; CA,"SQL, Research, Leadership, Data Warehouse, Big Data",4,Bachelor,Full-time,128;717 - 167;336 a year
Data Scientist Bioinformatics,MD Anderson Cancer Center,Hybrid work in Houston; TX 77030,"AI, Github, R, Data Analysis, Python, Computer Science, Statistics, Leadership, Machine Learning",Not specified,Bachelor; Doctorate; Master,Full-time,Not specified
Health Data Scientist,GAP Solutions; Inc.,Research Triangle Park; NC 27709,"Computer Vision, R, Data Visualization, Data Analysis, Python, Natural Language Processing, Computer Science, Statistics, Linux, Research, Machine Learning",Not specified,Bachelor,Full-time,Not specified
Senior Data Scientist; AI Foundations,Capital One,Hybrid work in McLean; VA,"AI, Computer Vision, R, Analytics, Banking, Data Analytics, AWS, SQL, Cloud Computing, Python, Scala, Data Analysis, Natural Language Processing, Financial Services, Research, PyTorch, APIs, Machine Learning",3,Bachelor; Doctorate; Master,Full-time,Not specified
Focused Analytics Solutions Team (FAST) - Data Science Sr. Associate,JPMorgan Chase & Co,Brooklyn; NY 11245  (Downtown area),"Sales, Analytics, Banking, Data Analysis, Financial Services, Leadership, Machine Learning",Not specified,Not Specified,Full-time,114;000 - 170;000 a year
Principal Data Scientist,Capital One,McLean; VA,"Spark, Deep Learning, R, Analytics, Data Analytics, AWS, Big Data, SQL, Cloud Computing, Python, Scala, Data Analysis, Research, Machine Learning",5,Bachelor; Doctorate; Master,Full-time,Not specified
Machine Learning Data Associate; Information Data Operations,Amazon.com Services LLC,Santa Barbara; CA 93101  (Downtown area),"Data Analysis, Machine Learning",Not specified,Bachelor; Master,Full-time,51;400 a year
