Job Title,Company Name,Location,Skills,Years of Experience,Education,Job Type,Salary
Sr. Data Scientist,PRA Group,Hybrid work in Norfolk; VA 23502,,Not specified,Not Specified,Not specified,Not specified
Sr. Data Scientist,Pluralsight,Remote,,Not specified,Not Specified,Not specified,Not specified
Senior Data Scientist,PPG,Pittsburgh; PA,,Not specified,Not Specified,Not specified,Not specified
Senior Data Scientist,State of Indiana,Indianapolis; IN 46204  (Downtown area),,Not specified,Not Specified,Not specified,Not specified
Data Scientist,Oklahoma City Thunder,Oklahoma City; OK 73114,,Not specified,Not Specified,Not specified,Not specified
Senior Data Scientist,Xometry Inc,Lexington; KY,,Not specified,Not Specified,Not specified,Not specified
Data Scientist,Sony Electronics,Reston; VA,,Not specified,Not Specified,Not specified,Not specified
Sr. Data Scientist,Cadent,San Jose; CA 95113  (Downtown area),,Not specified,Not Specified,Not specified,Not specified
Data Analyst; Senior,Booz Allen,Arlington; VA,,Not specified,Not Specified,Not specified,Not specified
Data Scientist Bioinformatics,MD Anderson Cancer Center,Hybrid work in Houston; TX 77030,,Not specified,Not Specified,Not specified,Not specified
Senior Data Scientist,CVS Health,Hybrid work in Hartford; CT,,Not specified,Not Specified,Not specified,Not specified
Senior Data Scientist,Warner Bros. Discovery,Burbank; CA 91505,,Not specified,Not Specified,Not specified,Not specified
Data Scientist,Hewlett Packard,Spring; TX 77389,,Not specified,Not Specified,Not specified,Not specified
Sr Data Analyst - Remote,Optum,Remote in Eden Prairie; MN 55343,,Not specified,Not Specified,Not specified,Not specified
Senior; Data Scientist,Macy’s,Hybrid work in Johns Creek; GA 30097,,Not specified,Not Specified,Not specified,Not specified
Sr Data Analyst,Honeywell,Hybrid work in Kansas City; MO 64114,,Not specified,Not Specified,Not specified,Not specified
Associate Data Scientist - PLMI Analytics,Cleveland Clinic,Remote in Cleveland; OH 44195,,Not specified,Not Specified,Not specified,Not specified
Senior Data Analyst,Zynga,San Francisco Bay Area; CA,,Not specified,Not Specified,Not specified,Not specified
Senior Data Scientist,Schneider,Green Bay; WI 54301,,Not specified,Not Specified,Not specified,Not specified
Data Scientist,Valley National Bank,Morristown; NJ 07960,,Not specified,Not Specified,Not specified,Not specified
Data Scientist,Schneider,Green Bay; WI 54301,,Not specified,Not Specified,Not specified,Not specified
Data Scientist (Data Scientist 1),HII,Remote in Alexandria; VA,,Not specified,Not Specified,Not specified,Not specified
Data Scientist,Federal Reserve Bank of Dallas,Hybrid work in Dallas; TX 75201,,Not specified,Not Specified,Not specified,Not specified
Senior Data Analyst,Zynga,San Francisco Bay Area; CA,,Not specified,Not Specified,Not specified,Not specified
Data Scientist,University of California San Francisco,San Francisco; CA 94143  (Inner Sunset area),,Not specified,Not Specified,Not specified,Not specified
Senior Data Scientist,Hewlett Packard,Palo Alto; CA 94304,,Not specified,Not Specified,Not specified,Not specified
Data Scientist,Takeda Pharmaceutical,Boston; MA,,Not specified,Not Specified,Not specified,Not specified
Senior Data Scientist,CVS Health,Hybrid work in Hartford; CT,,Not specified,Not Specified,Not specified,Not specified
Sr. Data Scientist,Skyworks,Irvine; CA,,Not specified,Not Specified,Not specified,Not specified
Senior Data Scientist,Schneider,Green Bay; WI 54301,,Not specified,Not Specified,Not specified,Not specified
Data Scientist,Office of Statewide Pretrial Services,Springfield; IL,,Not specified,Not Specified,Not specified,Not specified
Associate Data Scientist - PLMI Analytics,Cleveland Clinic,Remote in Cleveland; OH 44195,,Not specified,Not Specified,Not specified,Not specified
Senior Data Scientist,Providence,Remote in Renton; WA 98057,,Not specified,Not Specified,Not specified,Not specified
Data Scientist - Enterprise Analytics,HealthFirst,New York; NY 10007  (Tribeca area),,Not specified,Not Specified,Not specified,Not specified
Sr. Data Analyst,The Iowa Clinic,West Des Moines; IA 50266,,Not specified,Not Specified,Not specified,Not specified
Sr Data Scientist,Adobe,San Jose; CA 95110  (Downtown area),,Not specified,Not Specified,Not specified,Not specified
Data Scientist or Data Scientist Senior,Marshfield Clinic Health System,Marshfield; WI 54449,,Not specified,Not Specified,Not specified,Not specified
Senior; Data Scientist,Macy’s,Hybrid work in Johns Creek; GA 30097,,Not specified,Not Specified,Not specified,Not specified
Data Scientist I,Magnite,Boston; MA,,Not specified,Not Specified,Not specified,Not specified
Data Scientist,Spotify,New York; NY,"Data Analysis, R, Analytics, Tableau, Scala, Matplotlib, Research, SQL, A/B Testing, Python",3,Not Specified,Not specified,107;766 - 153;951 a year
Senior Data Scientist,Navy Federal Credit Union,Pensacola; FL 32526,"Forecasting, Data Analysis, Leadership, Data Structures, R, Analytics, Statistical Analysis, Big Data, Statistics, Tableau, Data Warehouse, Research, Financial Services, SQL, Python",Not specified,Master,Not specified,97;500 - 173;675 a year
Data Scientist,Design Interactive,Orlando; FL 32817,"Machine Learning, R, Tableau, Research, Scripting, Azure, Software development, SQL, AI, Python, Docker, APIs, Hypothesis testing, Project Management, Statistics, Go, Data Visualization, Leadership, Computer Science, Computer Vision, Java",8,Doctorate; Master,Not specified,85;000 - 100;000 a year
Data Scientist,Lockton; Inc.,Dallas; TX,"Data Mining, Forecasting, Computer Science, APIs, Machine Learning, R, Agile, Analytics, Big Data, Software development, Statistics, SAS, Data Warehouse, Research, Data Analytics, SQL, Python, Excel",2,Master; Bachelor,Full-time,Not specified
Data Scientist,JARB Management Inc,Clearwater; FL,"Power BI, Data Visualization, Computer Science, Pandas, Data Structures, Analytics, NumPy, SQL, Python, Data Engineering",Not specified,Not Specified,Full-time,Not specified
Senior Data Analyst,Vanderbilt University,Hybrid work in Nashville; TN 37232,"Data Analysis, R, Project Management, Analytics, Tableau, Statistics, Research, Data Warehouse, Go, Data Visualization",Not specified,Master,Full-time,Not specified
Sr. Data Analyst - Remote,UnitedHealthcare,Remote in Minnetonka; MN 55305,"Git, Forecasting, Machine Learning, R, Agile, Analytics, JSON, SQL, AI, Python",3,Master,Full-time,88;000 - 173;200 a year
Senior Data Analyst,JLL,Boulder; CO,"Google Cloud, Data Visualization, Data Analysis, Spark, Computer Science, R, Analytics, Statistics, Data Warehouse, SQL, Python, Excel",3,Bachelor,Not specified,130;000 - 170;000 a year
Sr. Data Scientist,Mass General Brigham,Somerville; MA 02145  (Assembly Square area),"Data Mining, Machine Learning, R, Research, SAS, Data Analysis, Statistical Analysis, SPSS, Machine Learning Algorithms, SQL, Data Structures, Python, MATLAB, Analytics, Statistics, Data Analytics, Natural Language Processing, Computer Science, Java",7,Doctorate; Master,Full-time,Not specified
Senior Data Scientist,Aurora Innovation,Mountain View; CA,"Forecasting, Computer Science, PyTorch, Big Data, AWS, Statistics, Research, NumPy, SQL, Python, Data Engineering",4,Doctorate,Not specified,168;000 - 252;000 a year
Data Scientist; Provider Selection Methodology,CVS Health,Hybrid work in New York; NY,,Not specified,Not Specified,Not specified,Not specified
Data Scientist,BI USA,Hybrid work in Ridgefield; CT 06877,,Not specified,Not Specified,Not specified,Not specified
Data Scientist,Copeland,Sidney; OH,,Not specified,Not Specified,Not specified,Not specified
Corporate Analytics Data Scientist,Hawaii Medical Service Association,Hybrid work in Honolulu; HI 96814,,Not specified,Not Specified,Not specified,Not specified
Data Scientist,CVS Health,Chicago; IL,,Not specified,Not Specified,Not specified,Not specified
Sr Data Scientist - Demand Forecasting,Target,Minneapolis; MN 55445,,Not specified,Not Specified,Not specified,Not specified
Senior Data Scientist - Support,Afterpay,Remote in San Francisco; CA,,Not specified,Not Specified,Not specified,Not specified
Data Scientist II,Warner Bros. Discovery,Culver City; CA 90232,,Not specified,Not Specified,Not specified,Not specified
Sr. Data Analyst,Bloomberg BNA,Arlington; VA 22202  (Aurora Highlands area),,Not specified,Not Specified,Not specified,Not specified
Data Scientist I/II,Fred Hutchinson Cancer Center,Seattle; WA 98102  (South Lake Union area),,Not specified,Not Specified,Not specified,Not specified
Senior Data Scientist,Bonterra Tech,Remote,,Not specified,Not Specified,Not specified,Not specified
Senior Healthcare Data Analyst (HEDIS),Sentara Healthcare,Glen Allen; VA 23060,,Not specified,Not Specified,Not specified,Not specified
Data Scientist,AstraZeneca,Mount Vernon; IN 47620,,Not specified,Not Specified,Not specified,Not specified
Senior Data Scientist - Payer Analytics,CVS Health,Remote in Hartford; CT,,Not specified,Not Specified,Not specified,Not specified
Data Scientist Senior,Elevance Health,Hybrid work in Arlington; VA 22201,,Not specified,Not Specified,Not specified,Not specified
Senior Data Scientist,Navy Federal Credit Union,Pensacola; FL 32526,,Not specified,Not Specified,Not specified,Not specified
Data Scientist,JARB Management Inc,Clearwater; FL,,Not specified,Not Specified,Not specified,Not specified
Data Scientist,Adobe,Seattle; WA 98103  (Fremont area),,Not specified,Not Specified,Not specified,Not specified
Senior Data Scientist,Hewlett Packard,Palo Alto; CA 94304,,Not specified,Not Specified,Not specified,Not specified
DATA SCIENTIST,University of Washington,Seattle; WA 98195  (University District area),,Not specified,Not Specified,Not specified,Not specified
Data Scientist,Office of Statewide Pretrial Services,Springfield; IL,,Not specified,Not Specified,Not specified,Not specified
Data Scientist,U-Haul,Phoenix; AZ 85004  (Encanto area),,Not specified,Not Specified,Not specified,Not specified
Data Scientist,The Mosaic Company,Tampa; FL,,Not specified,Not Specified,Not specified,Not specified
Sr Data Scientist,CEDENT,Atlanta; GA,,Not specified,Not Specified,Not specified,Not specified
Sr. Data Analyst,The Iowa Clinic,West Des Moines; IA 50266,,Not specified,Not Specified,Not specified,Not specified
Senior Data Analyst,Hearth,New York; NY  (Chelsea area),,Not specified,Not Specified,Not specified,Not specified
Data Scientist,Vertiv Group Corp,Westerville; OH,,Not specified,Not Specified,Not specified,Not specified
Sr Data Scientist,HCSC,Chicago; IL,,Not specified,Not Specified,Not specified,Not specified
Principal Data Scientist - Remote,UnitedHealthcare,Remote in Minnetonka; MN 55305,,Not specified,Not Specified,Not specified,Not specified
Senior Data Scientist - Thousand Oaks; CA,Amgen,Remote in Thousand Oaks; CA,,Not specified,Not Specified,Not specified,Not specified
Data Scientist,Zynex Medical,Englewood; CO 80112,,Not specified,Not Specified,Not specified,Not specified
Senior Data Scientist,Magna International Inc.,Lowell; MA 01854,,Not specified,Not Specified,Not specified,Not specified
Sr Data Scientist,Adobe,San Jose; CA 95110  (Downtown area),,Not specified,Not Specified,Not specified,Not specified
Sr. Data Analyst,Uber,San Francisco; CA,,Not specified,Not Specified,Not specified,Not specified
Sr Data Scientist,CEDENT,Atlanta; GA,,Not specified,Not Specified,Not specified,Not specified
Statistical Programmer/Data Analyst RECOVER,Massachusetts General Hospital(MGH),Boston; MA 02114  (West End area),,Not specified,Not Specified,Not specified,Not specified
Data Engineer,NTT DATA,Remote in Louisville; KY 40201,,Not specified,Not Specified,Not specified,Not specified
Sr Data Analyst,Trilogy Federal LLC,Remote in Arlington; VA,,Not specified,Not Specified,Not specified,Not specified
Principal Data Scientist - Remote,UnitedHealthcare,Remote in Minnetonka; MN 55305,,Not specified,Not Specified,Not specified,Not specified
Data Scientist,Carrier,Atlanta; GA 30339,,Not specified,Not Specified,Not specified,Not specified
Senior Data Scientist,Signet Jewelers,Remote in Coppell; TX 75019,,Not specified,Not Specified,Not specified,Not specified
Sr. Data Scientist,Mass General Brigham,Somerville; MA 02145  (Assembly Square area),,Not specified,Not Specified,Not specified,Not specified
Data Scientist (Direct Hire Authority),US Food and Nutrition Service,Remote,,Not specified,Not Specified,Not specified,Not specified
Data Scientist,Oklahoma State University,Stillwater; OK 74075,,Not specified,Not Specified,Not specified,Not specified
Sr Data Scientist,HCSC,Chicago; IL,,Not specified,Not Specified,Not specified,Not specified
Statistical Programmer/Data Analyst RECOVER,Massachusetts General Hospital(MGH),Boston; MA 02114  (West End area),,Not specified,Not Specified,Not specified,Not specified
Sr. Data Scientist,Mass General Brigham,Somerville; MA 02145  (Assembly Square area),,Not specified,Not Specified,Not specified,Not specified
Data Scientist - Marketing Analytics,UL Solutions,Northbrook; IL 60062,,Not specified,Not Specified,Not specified,Not specified
Senior Data Scientist,Signet Jewelers,Remote in Coppell; TX 75019,,Not specified,Not Specified,Not specified,Not specified
Data Scientist/Senior Data Scientist,Navy Federal Credit Union,Vienna; VA 22180,,Not specified,Not Specified,Not specified,Not specified
Senior Data Analyst,Alliant Energy,Madison; WI 53718,,Not specified,Not Specified,Not specified,Not specified
Data Scientist I,Black Knight,Hybrid work in Jacksonville; FL,,Not specified,Not Specified,Not specified,Not specified
Senior Data Scientist,AAA Life Insurance Company,Remote in Livonia; MI 48152,,Not specified,Not Specified,Full-time,Not specified
DATA SCIENTIST,City of Chicago,Chicago; IL 60622  (West Town area),"Data Visualization, Data Analysis, Computer Science, Analytics, Tableau, Statistics, Research, Data Analytics, SQL, Excel",Not specified,Doctorate; Master; Bachelor,Not specified,112;404 a year
Principal Data Scientist,Bunge,Hybrid work in Chesterfield; MO 63017,"Data Analysis, Computer Science, Leadership, Machine Learning, R, Agile, Analytics, Data Analytics, SQL, Python",5,Doctorate,Not specified,Not specified
Data Scientist,Apple,Cupertino; CA,"TensorFlow, Data Analysis, Machine Learning, Computer Vision, Pandas, Scripting, PyTorch, Research, Matplotlib, Deep Learning, NumPy, AI, Python",3,Not Specified,Not specified,138;900 - 256;500 a year
Data Scientist - Analytics II,AppLovin,Palo Alto; CA 94301  (University South area),"Computer Science, Analytics, Data Analytics, Data Visualization, AI",3,Master,Not specified,103;000 - 163;000 a year
Senior Associate; Data Scientist,BNY Mellon,Pittsburgh; PA 15219  (Central Business District area),"Python, REST, Java, Financial Services, AI, Banking",240,Bachelor,Not specified,Not specified
Data Scientist; HR Talent Science,Marriott International; Inc,Bethesda; MD 20814  (Wisconsin North area),"Docker, Data Analysis, Spark, Computer Science, APIs, R, Scripting, Java, Analytics, Statistics, Research, AWS, Data Analytics, SQL, Python",6,Master,Full-time,Not specified
Sr. Data Scientist,AppFolio,Santa Barbara; CA 93117,"Data Visualization, Data Analysis, Machine Learning, Pandas, Data Structures, Analytics, Tableau, Statistics, Analysis Skills, Data Analysis Skills, SQL, AI, Python, Data Engineering",4,Not Specified,Full-time,123;000 - 185;000 a year
Senior Data Scientist; Risk Analytics,Extend,Remote,"Forecasting, Leadership, R, Analytics, Statistics, SQL, Python",4,Bachelor,Not specified,125;000 - 140;000 a year
Sr. Data Scientist,CVS Health,Remote in Woonsocket; RI,"Spark, Machine Learning, Hadoop, R, Azure, Analytics, Statistical Analysis, Big Data, Research, SAS, Data Warehouse, AWS, SQL, Python",Not specified,Master,Full-time,81;000 - 162;000 a year
Principal Data Scientist,Jacobs Engineering Group Inc.,Remote in Irvine; CA 92602,"Data Analysis, Computer Science, Machine Learning, Analytics, Statistics, Analysis Skills, Regression Analysis, Machine Learning Algorithms, Data Analysis Skills, Research, SQL, Python",5,Doctorate,Not specified,130;000 - 155;000 a year
Senior; Data Scientist,Macy’s,Hybrid work in Johns Creek; GA 30097,"Google Cloud, Machine Learning, Agile, Analytics, Big Data, Marketing, Leadership, AI",5,Doctorate; Master,Not specified,123;480 - 206;040 a year
Senior Associate; Data Scientist,The Bank of New York Mellon Corporation,Pittsburgh; PA,"Python, REST, Java, Financial Services, AI, Banking",240,Bachelor,Not specified,Not specified
Data Science Analyst,Cenovus Energy,Columbus; OH,"Git, Data Mining, Computer Science, Leadership, Machine Learning, R, Analytics, Statistics, Marketing, SQL, Python",3,Bachelor,Full-time,Not specified
Data Scientist II,Central Mutual Insurance Company,Hybrid work in Dublin; OH 43017,"Git, Data Mining, Power BI, Machine Learning, R, Tableau, Scala, SAS, Spark, Azure, SQL, Python, APIs, Hadoop, Cloud Computing, Analytics, Data Visualization, Leadership, Computer Science, Java, AWS",4,Master; Bachelor,Full-time,Not specified
Senior Data Scientist,Dynata,Remote,"Git, Presentation Skills, Hypothesis testing, R, Analytics, Software development, Statistics, SPSS, Research, SQL, Python, Jira, Excel",7,Doctorate; Master,Full-time,100;000 - 130;000 a year
Senior Data Scientist,Capital One,McLean; VA,"Data Analysis, Spark, Machine Learning, R, Cloud Computing, Analytics, Big Data, Scala, Research, AWS, Data Analytics, SQL, Deep Learning, Python",2,Doctorate; Master; Bachelor,Full-time,Not specified
Data Scientist,Revenue Management Solutions Llc,Oklahoma City; OK 73120,"Data Mining, Data Visualization, Computer Science, R, Statistical Software, Statistical Analysis, Statistics, SAS, Research, SQL, Python",15,Master; Bachelor,Full-time,Not specified
Principal Data Scientist,Atlassian,Remote in San Francisco; CA 94104,"Forecasting, Leadership, R, Analytics, Tableau, Go, SQL, Quantitative analysis, Python",8,Not Specified,Full-time,Not specified
SENIOR DATA ANALYST,Summit Pacific Medical Center,Elma; WA 98541,"Data Analysis, Computer Science, Statistical Analysis, Statistics, SQL",Not specified,Master; Bachelor,Full-time,Not specified
Data Scientist II,T.D. Williamson; Inc.,Salt Lake City; UT,"Data Analysis, Computer Science, Machine Learning, Sales, Data lake, Regression Analysis, Python",4,Not Specified,Full-time,Not specified
DATA SCIENTIST,Los Angeles County Department of Human Resources,Los Angeles County; CA,"Data Mining, Data Analysis, Machine Learning, Scripting, Analytics, Statistical Analysis, Big Data, Statistics, Research, Data Analytics, Data Visualization, Encryption",16,Doctorate; Master; Bachelor,Full-time,Not specified
Sr. Data Scientist,Finch Computing,Beavercreek; OH 45431,"Machine Learning, Pandas, PyTorch, Data Analysis, Agile, Software development, SQL, Deep Learning, AI, Python, Linux, Analytics, NoSQL, Statistics, NumPy, Excel, Natural Language Processing, Computer Science, Java, Scikit-learn",3,Bachelor,Not specified,Not specified
Data Scientist (Data Scientist 1),HII,Remote in Alexandria; VA,"Data Mining, Machine Learning, Project Management, Agile, Big Data, Software development, AI",4,Bachelor,Full-time,Not specified
Data Scientist,US Federal Retirement Thrift Investment Board,Washington; DC 20001  (Sursum Corda Cooperative area),"Power BI, Machine Learning, R, Statistical Software, Tableau, Research, Statistical Analysis, SQL, AI, Python, Cloud Computing, Analytics, Redshift, Statistics, Data Analytics, Data Visualization, Leadership, Excel, Natural Language Processing, Computer Science, AWS",Not specified,Not Specified,Full-time,139;395 - 181;216 a year
Sr. Data Scientist,Smile Doctors,Remote,"Power BI, Forecasting, Computer Science, Machine Learning, R, Snowflake, Analytics, Sales, Big Data, Tableau, Statistics, Marketing, SQL, Deep Learning, Python, Excel",Not specified,Bachelor,Full-time,Not specified
Sr Data Scientist (Optimizations),Syneos - Clinical and Corporate - Prod,Remote,"Machine learning frameworks, Computer Science, Machine Learning, Azure, Analytics, Scikit-learn, Research, SciPy, Python",5,Doctorate; Master; Bachelor,Full-time,$102;600 - $178;600 \$(\d+;\d+)
Data Scientist,RAND Corporation,Hybrid work in Los Angeles; CA,"R, Statistical Analysis, Statistics, SAS, Research, SQL, Python",Not specified,Not Specified,Full-time,Not specified
Principal Data Scientist,Amgen,Remote in Washington; DC 20004,"Data Analysis, Machine Learning, R, Analytics, Sales, Tableau, Research, Data Visualization",12,Doctorate; Master; Bachelor,Not specified,159;980 - 193;021 a year
Data Scientist,MIT Lincoln Laboratory,Lexington; MA,"Data Analysis, Computer Science, R, MATLAB, Analytics, Statistics, Github, Quantitative analysis, Python",Not specified,Bachelor,Not specified,Not specified
